,unique_id,full_name,minutes,goals_scored,assists,previous_start_value,delta_value,bps,selected_by_percent,position_DEF,position_FWD,position_GK,position_MID,teams_chelsea,teams_liverpool,teams_manchestercity,teams_manchesterunited,teams_newcastleunited,teams_tottenhamhotspur,target_value
240,153-2020-21,cenktosun,44.0,0.0,0.0,60.0,0.0,12.0,0.0,0,1,0,0,0,0,0,0,0,0,60.0
660,479-2022-23,leanderdendoncker,897.0,0.0,0.0,50.0,-3.0,163.0,0.1,0,0,0,1,0,0,0,0,0,0,50.0
174,4-2020-21,pierre-emerickaubameyang,2330.0,10.0,3.0,120.0,-7.0,358.0,7.2,0,0,0,1,0,0,0,0,0,0,110.0
667,84-2022-23,kristofferajer,763.0,0.0,0.0,45.0,0.0,129.0,0.1,1,0,0,0,0,0,0,0,0,0,45.0
635,440-2021-22,morgangibbs-white,7.0,0.0,0.0,45.0,0.0,0.0,0.1,0,0,0,1,0,0,0,0,0,0,50.0
245,161-2020-21,jean-philippegbamin,11.0,0.0,0.0,50.0,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,50.0
56,144-2017-18,masonholgate,1183.0,0.0,0.0,45.0,-5.0,214.0,1.0,1,0,0,0,0,0,0,0,0,0,45.0
511,187-2021-22,rodrigomoreno,2263.0,6.0,2.0,65.0,-2.0,351.0,2.1,0,1,0,0,0,0,0,0,0,0,60.0
71,205-2017-18,nampalysmendy,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,45.0
681,100-2022-23,ellerybalcombe,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,40.0
145,399-2017-18,craigcathcart,495.0,0.0,0.0,45.0,-1.0,90.0,0.0,1,0,0,0,0,0,0,0,0,0,45.0
90,242-2017-18,johnstones,1301.0,0.0,0.0,55.0,-2.0,334.0,3.1,1,0,0,0,0,0,1,0,0,0,50.0
166,448-2017-18,robertsnodgrass,0.0,0.0,0.0,60.0,-2.0,0.0,0.6,0,0,0,1,0,0,0,0,0,0,55.0
392,458-2020-21,willyboly,1879.0,1.0,1.0,55.0,-1.0,364.0,1.1,1,0,0,0,0,0,0,0,0,0,50.0
892,442-2022-23,joerodon,0.0,0.0,0.0,40.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,45.0
170,454-2017-18,michailantonio,1350.0,3.0,2.0,75.0,-1.0,188.0,0.2,0,1,0,0,0,0,0,0,0,0,70.0
310,507-2020-21,ryanfraser,922.0,0.0,4.0,60.0,-4.0,154.0,0.2,0,0,0,1,0,0,0,0,1,0,75.0
361,395-2020-21,bendavies,1340.0,0.0,2.0,50.0,-5.0,253.0,0.6,1,0,0,0,0,0,0,0,0,1,55.0
359,393-2020-21,paulogazzaniga,0.0,0.0,0.0,45.0,-2.0,0.0,0.2,0,0,1,0,0,0,0,0,0,1,45.0
93,247-2017-18,raheemsterling,2584.0,18.0,17.0,80.0,11.0,701.0,27.6,0,0,0,1,0,0,1,0,0,0,80.0
322,354-2020-21,jacko'connell,180.0,0.0,0.0,50.0,-3.0,19.0,0.1,1,0,0,0,0,0,0,0,0,0,45.0
420,60-2021-22,solomonmarch,1733.0,0.0,2.0,55.0,-2.0,216.0,0.1,0,0,0,1,0,0,0,0,0,0,50.0
412,10-2021-22,calumchambers,999.0,1.0,0.0,45.0,-3.0,198.0,0.4,1,0,0,0,0,0,0,0,0,0,45.0
627,424-2021-22,issadiop,961.0,0.0,1.0,45.0,-3.0,203.0,0.3,1,0,0,0,0,0,0,0,0,0,45.0
795,274-2022-23,jamesmilner,889.0,0.0,1.0,45.0,-1.0,187.0,0.6,0,0,0,1,0,1,0,0,0,0,50.0
680,99-2022-23,madsbidstrup,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,45.0
376,431-2020-21,lukaszfabianski,3150.0,0.0,0.0,50.0,0.0,634.0,3.2,0,0,1,0,0,0,0,0,0,0,50.0
395,470-2020-21,maxkilman,1307.0,0.0,1.0,40.0,-2.0,258.0,5.9,1,0,0,0,0,0,0,0,0,0,40.0
243,157-2020-21,jordanpickford,2742.0,0.0,0.0,50.0,-2.0,570.0,5.3,0,0,1,0,0,0,0,0,0,0,55.0
748,196-2022-23,jarradbranthwaite,0.0,0.0,0.0,40.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,40.0
87,237-2017-18,dannyings,262.0,1.0,1.0,55.0,-1.0,53.0,0.2,0,1,0,0,0,1,0,0,0,0,60.0
214,121-2020-21,fikayotomori,45.0,0.0,0.0,50.0,-3.0,8.0,0.2,1,0,0,0,1,0,0,0,0,0,45.0
889,437-2022-23,stevenbergwijn,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,60.0
344,376-2020-21,janbednarek,3100.0,1.0,1.0,45.0,2.0,584.0,4.6,1,0,0,0,0,0,0,0,0,0,45.0
173,2-2020-21,sokratispapastathopoulos,0.0,0.0,0.0,50.0,-2.0,0.0,0.1,1,0,0,0,0,0,0,0,0,0,50.0
770,263-2022-23,hamzachoudhury,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,45.0
718,154-2022-23,jamesmcarthur,50.0,0.0,0.0,50.0,-2.0,13.0,0.0,0,0,0,1,0,0,0,0,0,0,45.0
291,322-2020-21,mattritchie,1347.0,0.0,5.0,50.0,-1.0,226.0,0.1,0,0,0,1,0,0,0,0,1,0,55.0
425,65-2021-22,mathewryan,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,45.0
702,137-2022-23,timowerner,0.0,0.0,0.0,80.0,-1.0,0.0,0.2,0,1,0,0,1,0,0,0,0,0,90.0
118,313-2017-18,jackstephens,1980.0,2.0,0.0,50.0,-5.0,360.0,0.5,1,0,0,0,0,0,0,0,0,0,40.0
119,317-2017-18,jamesward-prowse,1708.0,3.0,5.0,55.0,-6.0,367.0,1.7,0,0,0,1,0,0,0,0,0,0,55.0
779,222-2022-23,lukeayling,2048.0,2.0,1.0,45.0,0.0,336.0,0.3,1,0,0,0,0,0,0,0,0,0,45.0
0,7-2017-18,héctorbellerín,3050.0,2.0,4.0,60.0,-1.0,656.0,10.3,1,0,0,0,0,0,0,0,0,0,65.0
394,464-2020-21,leanderdendoncker,2498.0,1.0,2.0,50.0,-4.0,330.0,0.6,0,0,0,1,0,0,0,0,0,0,45.0
401,7-2021-22,granitxhaka,2327.0,1.0,2.0,50.0,-2.0,334.0,0.4,0,0,0,1,0,0,0,0,0,0,55.0
404,14-2021-22,robholding,840.0,1.0,0.0,45.0,-4.0,152.0,0.8,1,0,0,0,0,0,0,0,0,0,45.0
557,302-2021-22,javiermanquillo,1258.0,1.0,3.0,40.0,-1.0,206.0,4.6,1,0,0,0,0,0,0,0,1,0,45.0
564,312-2021-22,matthewlongstaff,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,50.0
162,443-2017-18,aaroncresswell,3069.0,1.0,7.0,50.0,-1.0,613.0,3.2,1,0,0,0,0,0,0,0,0,0,55.0
114,306-2017-18,fraserforster,1800.0,0.0,0.0,50.0,-4.0,351.0,3.9,0,0,1,0,0,0,0,0,0,0,50.0
150,8-2017-18,kierangibbs,2826.0,0.0,2.0,50.0,0.0,483.0,0.4,1,0,0,0,0,0,0,0,0,0,50.0
531,235-2021-22,divockorigi,126.0,3.0,0.0,50.0,-2.0,87.0,1.4,0,1,0,0,0,1,0,0,0,0,55.0
525,224-2021-22,joelmatip,2790.0,3.0,3.0,50.0,3.0,763.0,10.1,1,0,0,0,0,1,0,0,0,0,55.0
368,482-2020-21,joehart,0.0,0.0,0.0,45.0,-3.0,0.0,0.6,0,0,1,0,0,0,0,0,0,1,45.0
477,176-2021-22,tomdavies,230.0,1.0,0.0,50.0,-2.0,44.0,0.1,0,0,0,1,0,0,0,0,0,0,55.0
897,455-2022-23,lukaszfabianski,3111.0,0.0,0.0,50.0,-1.0,622.0,1.2,0,0,1,0,0,0,0,0,0,0,50.0
592,353-2021-22,hugolloris,3420.0,0.0,0.0,55.0,0.0,703.0,8.5,0,0,1,0,0,0,0,0,0,1,55.0
868,407-2022-23,jamesward-prowse,3371.0,9.0,4.0,65.0,-4.0,747.0,4.9,0,0,0,1,0,0,0,0,0,0,65.0
258,221-2020-21,marcalbrighton,1735.0,1.0,7.0,55.0,-3.0,325.0,0.2,0,0,0,1,0,0,0,0,0,0,55.0
769,262-2022-23,kelechiiheanacho,1112.0,5.0,5.0,65.0,-7.0,237.0,0.9,0,1,0,0,0,0,0,0,0,0,75.0
135,382-2017-18,kierantrippier,1912.0,0.0,7.0,55.0,-3.0,539.0,4.8,1,0,0,0,0,0,0,0,0,1,50.0
840,356-2022-23,callumwilson,1870.0,18.0,6.0,75.0,-2.0,526.0,17.2,0,1,0,0,0,0,0,0,1,0,75.0
574,334-2021-22,alexmccarthy,1530.0,0.0,0.0,45.0,-2.0,286.0,1.2,0,0,1,0,0,0,0,0,0,0,45.0
724,160-2022-23,wilfriedzaha,2289.0,7.0,2.0,70.0,2.0,216.0,6.7,0,0,0,1,0,0,0,0,0,0,70.0
501,214-2021-22,hamzachoudhury,284.0,0.0,0.0,45.0,-1.0,41.0,0.1,0,0,0,1,0,0,0,0,0,0,50.0
591,352-2021-22,joehart,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,45.0
343,375-2020-21,kylewalker-peters,2646.0,0.0,3.0,45.0,2.0,498.0,4.2,1,0,0,0,0,0,0,0,0,0,50.0
611,406-2021-22,marknoble,325.0,1.0,0.0,45.0,-2.0,76.0,0.7,0,0,0,1,0,0,0,0,0,0,50.0
563,311-2021-22,jamallewis,261.0,0.0,0.0,45.0,-3.0,39.0,0.1,1,0,0,0,0,0,0,0,1,0,45.0
293,325-2020-21,karldarlow,2250.0,0.0,0.0,50.0,-1.0,450.0,1.1,0,0,1,0,0,0,0,0,1,0,45.0
364,404-2020-21,oliverskipp,0.0,0.0,0.0,45.0,-1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,45.0
568,322-2021-22,jordanhugill,0.0,0.0,0.0,55.0,-1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,55.0
14,39-2017-18,harryarter,959.0,1.0,0.0,50.0,-3.0,156.0,0.3,0,0,0,1,0,0,0,0,0,0,50.0
86,235-2017-18,robertofirmino,2760.0,15.0,8.0,85.0,10.0,758.0,36.1,0,1,0,0,0,1,0,0,0,0,85.0
370,56-2020-21,davidbutton,90.0,0.0,0.0,40.0,-1.0,18.0,3.6,0,0,1,0,0,0,0,0,0,0,40.0
165,446-2017-18,arthurmasuaku,1867.0,0.0,3.0,45.0,-3.0,352.0,1.2,1,0,0,0,0,0,0,0,0,0,50.0
802,285-2022-23,trentalexander-arnold,2922.0,2.0,11.0,75.0,3.0,824.0,30.7,1,0,0,0,0,1,0,0,0,0,75.0
335,365-2020-21,nathanredmond,1727.0,2.0,3.0,65.0,-1.0,243.0,0.2,0,0,0,1,0,0,0,0,0,0,65.0
59,155-2017-18,idrissagueye,2749.0,2.0,2.0,50.0,-2.0,552.0,0.9,0,0,0,1,0,0,0,0,0,0,50.0
354,387-2020-21,eriklamela,700.0,1.0,1.0,60.0,-3.0,96.0,0.1,0,0,0,1,0,0,0,0,0,1,60.0
424,65-2021-22,mathewryan,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,45.0
292,324-2020-21,ciaranclark,1890.0,1.0,0.0,45.0,0.0,291.0,0.2,1,0,0,0,0,0,0,0,1,0,45.0
41,119-2017-18,joelward,1613.0,0.0,1.0,50.0,-3.0,276.0,0.2,1,0,0,0,0,0,0,0,0,0,50.0
329,509-2020-21,ethanampadu,2087.0,0.0,0.0,45.0,-2.0,341.0,0.4,1,0,0,0,0,0,0,0,0,0,45.0
429,72-2021-22,aaronconnolly,154.0,0.0,0.0,55.0,-2.0,12.0,0.1,0,1,0,0,0,0,0,0,0,0,55.0
79,219-2017-18,joelmatip,1995.0,1.0,0.0,55.0,-1.0,470.0,1.7,1,0,0,0,0,1,0,0,0,0,55.0
28,334-2017-18,philbardsley,1125.0,0.0,0.0,45.0,-5.0,193.0,0.3,1,0,0,0,0,0,0,0,0,0,45.0
254,216-2020-21,wesmorgan,16.0,0.0,0.0,45.0,-1.0,9.0,0.1,1,0,0,0,0,0,0,0,0,0,45.0
679,98-2022-23,dominicthompson,0.0,0.0,0.0,40.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,45.0
458,149-2021-22,christianbenteke,1132.0,4.0,1.0,65.0,-6.0,173.0,1.2,0,1,0,0,0,0,0,0,0,0,55.0
383,439-2020-21,manuellanzini,556.0,1.0,1.0,65.0,-1.0,117.0,0.1,0,0,0,1,0,0,0,0,0,0,65.0
313,343-2020-21,billysharp,725.0,3.0,0.0,60.0,-5.0,101.0,0.1,0,1,0,0,0,0,0,0,0,0,60.0
84,230-2017-18,sadiomané,2189.0,10.0,8.0,95.0,-1.0,499.0,8.5,0,0,0,1,0,1,0,0,0,0,90.0
136,384-2017-18,ericdier,2822.0,0.0,2.0,50.0,-3.0,477.0,2.4,1,0,0,0,0,0,0,0,0,1,55.0
111,476-2017-18,andreaspereira,0.0,0.0,0.0,50.0,-1.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,45.0
194,62-2020-21,lewisdunk,2932.0,5.0,0.0,50.0,-2.0,626.0,5.9,1,0,0,0,0,0,0,0,0,0,45.0
178,9-2020-21,granitxhaka,2519.0,1.0,2.0,55.0,-3.0,396.0,0.4,0,0,0,1,0,0,0,0,0,0,55.0
806,291-2022-23,curtisjones,1029.0,3.0,1.0,50.0,-1.0,206.0,0.4,0,0,0,1,0,1,0,0,0,0,50.0
496,208-2021-22,danielamartey,2118.0,0.0,0.0,40.0,0.0,422.0,10.9,1,0,0,0,0,0,0,0,0,0,40.0
129,354-2017-18,federicofernández,2676.0,1.0,1.0,45.0,0.0,500.0,3.3,1,0,0,0,0,0,0,0,0,0,45.0
337,367-2020-21,jackstephens,1537.0,0.0,0.0,50.0,-4.0,288.0,0.2,1,0,0,0,0,0,0,0,0,0,45.0
124,99-2017-18,kurtzouma,2887.0,1.0,0.0,55.0,-1.0,554.0,2.0,1,0,0,0,0,0,0,0,0,0,55.0
869,408-2022-23,adamarmstrong,1321.0,2.0,1.0,55.0,-2.0,161.0,0.7,0,1,0,0,0,0,0,0,0,0,60.0
226,132-2020-21,christianbenteke,1808.0,10.0,2.0,55.0,0.0,338.0,1.3,0,1,0,0,0,0,0,0,0,0,60.0
268,234-2020-21,hamzachoudhury,311.0,0.0,0.0,50.0,-4.0,59.0,0.1,0,0,0,1,0,0,0,0,0,0,45.0
884,430-2022-23,ericdier,2816.0,2.0,1.0,50.0,0.0,569.0,4.8,1,0,0,0,0,0,0,0,0,1,45.0
103,271-2017-18,ericbailly,1000.0,1.0,0.0,60.0,0.0,248.0,5.7,1,0,0,0,0,0,0,1,0,0,55.0
775,270-2022-23,lukethomas,1068.0,0.0,1.0,45.0,-6.0,189.0,0.2,1,0,0,0,0,0,0,0,0,0,45.0
593,353-2021-22,hugolloris,3420.0,0.0,0.0,55.0,0.0,703.0,8.5,0,0,1,0,0,0,0,0,0,1,55.0
227,134-2020-21,joelward,2255.0,0.0,1.0,45.0,-2.0,353.0,1.2,1,0,0,0,0,0,0,0,0,0,45.0
804,287-2022-23,nabykeita,290.0,0.0,0.0,50.0,-3.0,34.0,0.0,0,0,0,1,0,1,0,0,0,0,50.0
301,335-2020-21,deandreyedlin,435.0,0.0,0.0,45.0,-2.0,68.0,0.2,1,0,0,0,0,0,0,0,1,0,45.0
275,244-2020-21,jordanhenderson,1704.0,1.0,2.0,55.0,-1.0,345.0,0.9,0,0,0,1,0,1,0,0,0,0,55.0
126,332-2017-18,erikpieters,2717.0,0.0,1.0,50.0,-3.0,456.0,0.4,1,0,0,0,0,0,0,0,0,0,45.0
405,16-2021-22,kierantierney,1916.0,1.0,3.0,50.0,-1.0,454.0,4.7,1,0,0,0,0,0,0,0,0,0,55.0
810,499-2022-23,bendavies,0.0,0.0,0.0,40.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,40.0
36,149-2017-18,rossbarkley,129.0,0.0,0.0,75.0,-2.0,11.0,0.2,0,0,0,1,1,0,0,0,0,0,75.0
139,388-2017-18,bamidelealli,2957.0,9.0,13.0,95.0,-5.0,565.0,13.8,0,0,0,1,0,0,0,0,0,1,85.0
303,337-2020-21,rolandoaarons,0.0,0.0,0.0,50.0,-2.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,50.0
267,233-2020-21,kelechiiheanacho,1452.0,12.0,2.0,60.0,2.0,424.0,19.5,0,1,0,0,0,0,0,0,0,0,60.0
533,237-2021-22,trentalexander-arnold,2853.0,2.0,12.0,75.0,9.0,864.0,37.9,1,0,0,0,0,1,0,0,0,0,75.0
